14 May 2022 - 21 May 2022
Date/time;500KVApCIDETpFIME_20220521_163645_5m_STD.P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Minimum P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Maximum P.F. III
5/15/22 11:45:00 PM;-0.93;-0.91;-0.94
5/15/22 11:50:00 PM;-0.93;-0.92;-0.95
5/15/22 11:55:00 PM;-0.94;-0.92;-0.95
5/16/22 12:00:00 AM;-0.95;-0.93;-0.96
5/16/22 12:05:00 AM;-0.94;-0.93;-0.95
5/16/22 12:10:00 AM;-0.94;-0.93;0.97
5/16/22 12:15:00 AM;-0.94;-0.90;-0.96
5/16/22 12:20:00 AM;-0.93;-0.91;-0.95
5/16/22 12:25:00 AM;-0.93;-0.92;-0.95
5/16/22 12:30:00 AM;-0.96;-0.92;-0.98
5/16/22 12:35:00 AM;-0.95;-0.91;-0.98
5/16/22 12:40:00 AM;-0.92;-0.90;-0.94
5/16/22 12:45:00 AM;-0.92;-0.91;-0.95
5/16/22 12:50:00 AM;-0.94;-0.91;-0.96
5/16/22 12:55:00 AM;-0.95;-0.93;-0.96
5/16/22 1:00:00 AM;-0.94;-0.93;-0.96
5/16/22 1:05:00 AM;-0.95;-0.93;-0.96
5/16/22 1:10:00 AM;-0.93;-0.91;-0.96
5/16/22 1:15:00 AM;-0.92;-0.90;-0.94
5/16/22 1:20:00 AM;-0.93;-0.91;-0.95
5/16/22 1:25:00 AM;-0.92;-0.91;-0.94
5/16/22 1:30:00 AM;-0.92;-0.91;-0.94
5/16/22 1:35:00 AM;-0.93;-0.90;-0.96
5/16/22 1:40:00 AM;-0.93;-0.91;-0.94
5/16/22 1:45:00 AM;-0.93;-0.91;-0.94
5/16/22 1:50:00 AM;-0.93;-0.91;-0.95
5/16/22 1:55:00 AM;-0.94;-0.92;-0.96
5/16/22 2:00:00 AM;-0.93;-0.91;-0.95
5/16/22 2:05:00 AM;-0.93;-0.91;-0.94
5/16/22 2:10:00 AM;-0.92;-0.91;-0.95
5/16/22 2:15:00 AM;-0.93;-0.91;-0.95
5/16/22 2:20:00 AM;-0.95;-0.92;-0.96
5/16/22 2:25:00 AM;-0.95;-0.93;-0.96
5/16/22 2:30:00 AM;-0.95;-0.93;-0.96
5/16/22 2:35:00 AM;-0.95;-0.93;-0.96
5/16/22 2:40:00 AM;-0.93;-0.91;-0.96
5/16/22 2:45:00 AM;-0.92;-0.91;-0.94
5/16/22 2:50:00 AM;-0.93;-0.91;-0.95
5/16/22 2:55:00 AM;-0.93;-0.91;-0.95
5/16/22 3:00:00 AM;-0.93;-0.91;-0.95
5/16/22 3:05:00 AM;-0.93;-0.91;-0.95
5/16/22 3:10:00 AM;-0.93;-0.91;-0.94
